,team,ID,Avg_Weighted_Score,batting_average,batting_strike_rate,bowling_average,bowling_economy_rate,bowling_strike_rate,win_ratio
0,chennai super kings,335983,22.834012954357142,28.61480032574499,124.4863814475716,19.415454545454544,4.743636363636364,13.70181818181818,0.5990909090909091
1,chennai super kings,335989,22.834012954357142,28.61480032574499,124.4863814475716,19.415454545454544,4.743636363636364,13.70181818181818,0.5990909090909091
2,chennai super kings,335993,22.834012954357142,28.61480032574499,124.4863814475716,19.415454545454544,4.743636363636364,13.70181818181818,0.5990909090909091
3,chennai super kings,335996,22.800362424876184,29.171000826803994,128.01496776181511,19.514545454545456,4.880909090909091,13.373636363636365,0.5981818181818181
4,chennai super kings,336001,17.939099970963937,23.92040751673219,123.06953994651036,20.490909090909092,5.33909090909091,15.254545454545452,0.4918181818181818
5,chennai super kings,336005,17.939099970963937,23.92040751673219,123.06953994651036,20.490909090909092,5.33909090909091,15.254545454545452,0.4918181818181818
6,chennai super kings,336007,17.364548321498155,24.159456150249763,121.78262637543475,18.490909090909092,4.33909090909091,14.163636363636362,0.5109090909090909
7,chennai super kings,336009,17.65311491602313,23.772061700990925,121.87918668749401,19.663636363636364,7.097272727272728,14.110909090909088,0.5790909090909091
8,chennai super kings,336013,17.65311491602313,23.772061700990925,121.87918668749401,19.663636363636364,7.097272727272728,14.110909090909088,0.5790909090909091
9,chennai super kings,336018,16.915034346486657,22.940852049639318,121.74649980978211,19.773636363636363,7.0145454545454555,14.335454545454546,0.5227272727272728
10,chennai super kings,336025,18.028493605450212,23.974507955171898,121.20850824759786,19.741818181818182,5.178181818181819,15.123636363636363,0.51
11,chennai super kings,336029,18.028493605450212,23.974507955171898,121.20850824759786,19.741818181818182,5.178181818181819,15.123636363636363,0.51
12,chennai super kings,336033,17.34020009794882,23.46641229737634,117.13873808561314,17.741818181818182,4.178181818181819,14.032727272727271,0.5
13,chennai super kings,336037,17.34020009794882,23.46641229737634,117.13873808561314,17.741818181818182,4.178181818181819,14.032727272727271,0.5
14,chennai super kings,336039,17.069188974138026,23.093097772494207,118.33886538612157,19.741818181818182,6.75,15.123636363636363,0.5281818181818182
15,chennai super kings,336040,17.069188974138026,23.093097772494207,118.33886538612157,19.741818181818182,6.75,15.123636363636363,0.5281818181818182
16,chennai super kings,392181,20.012054295979926,26.450700470755613,123.13343688994375,23.154545454545456,5.3127272727272725,16.60909090909091,0.5281818181818181
17,chennai super kings,392185,20.465630909609754,27.32805521981168,125.34378500069262,22.546363636363637,5.3109090909090915,16.244545454545456,0.5245454545454545
18,chennai super kings,392189,20.465630909609754,27.32805521981168,125.34378500069262,22.546363636363637,5.3109090909090915,16.244545454545456,0.5245454545454545
19,chennai super kings,392196,19.587634079667318,25.880727833377424,124.28583405766801,21.299090909090907,5.246363636363636,15.638181818181817,0.5499999999999999
20,chennai super kings,392202,20.05665715616914,27.332109970050077,120.94591302632679,22.239090909090912,5.061818181818182,16.78272727272727,0.5863636363636362
21,chennai super kings,392206,20.584336929027728,27.724445555678983,121.08529769337008,22.239090909090912,5.804545454545454,16.78272727272727,0.5818181818181818
22,chennai super kings,392209,20.584336929027728,27.724445555678983,121.08529769337008,22.239090909090912,5.804545454545454,16.78272727272727,0.5818181818181818
23,chennai super kings,392214,19.67536621974848,27.60835870412658,124.12092900783846,21.87545454545455,5.04909090909091,16.570909090909087,0.5754545454545453
24,chennai super kings,392217,20.584336929027728,27.724445555678983,121.08529769337008,22.239090909090912,5.804545454545454,16.78272727272727,0.5818181818181818
25,chennai super kings,392224,20.584336929027728,27.724445555678983,121.08529769337008,22.239090909090912,5.804545454545454,16.78272727272727,0.5818181818181818
26,chennai super kings,392227,20.05665715616914,27.332109970050077,120.94591302632679,22.239090909090912,5.061818181818182,16.78272727272727,0.5863636363636362
27,chennai super kings,392231,17.466342070324135,25.468392591476377,118.41192693067498,22.239090909090912,5.061818181818182,16.78272727272727,0.5736363636363636
28,chennai super kings,392234,16.816077267001347,23.215850187699424,117.21556521567567,20.05636363636364,4.892727272727272,15.649090909090908,0.5518181818181817
29,chennai super kings,392238,19.666933185657143,26.92072034033103,123.26658052730347,20.930909090909093,5.082727272727272,15.798181818181815,0.5754545454545453
30,chennai super kings,419110,20.70291710984201,26.469280889296304,122.51728877123631,20.169090909090908,5.575454545454545,15.881818181818181,0.5718181818181818
31,chennai super kings,419113,20.310508935306082,26.110049210718618,124.66104042741405,18.86090909090909,5.596363636363637,14.897272727272728,0.5609090909090909
32,chennai super kings,419116,19.908899252583325,24.152413850660814,121.80465006955251,18.87363636363636,5.698181818181819,14.654545454545454,0.5418181818181818
33,chennai super kings,419121,19.908159416871595,24.14965231051913,122.97989547282867,18.86090909090909,5.596363636363637,14.897272727272728,0.5545454545454546
34,chennai super kings,419123,20.689405801105995,25.46769069535203,121.97561873372089,18.53272727272727,4.906363636363636,14.548181818181819,0.5545454545454545
35,chennai super kings,419125,19.949309578618568,27.287539793564548,125.18935240423272,20.39727272727273,5.174545454545455,15.209090909090907,0.549090909090909
36,chennai super kings,419129,20.13057646725624,27.21786483069952,122.16567033378344,16.821818181818184,5.042727272727273,12.888181818181817,0.549090909090909
37,chennai super kings,419133,21.06608092998379,28.388272833237654,124.98678852678576,16.80909090909091,6.122727272727272,13.13090909090909,0.5990909090909091
38,chennai super kings,419137,20.541176189460817,28.63004241083042,123.02273998349371,17.990909090909092,4.925454545454546,13.996363636363638,0.5963636363636363
39,chennai super kings,419142,22.851240975959776,30.06684638354304,120.74390142472294,17.49909090909091,4.8554545454545455,13.775454545454545,0.5963636363636363
